	문서번호	문장번호	수집일	채널	문장	URL	회사명	연관어
8623	DN000000010664048516_3	DN000000010664048516	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신 새롭게 개편된 모바일 전단을 운영한다고 10일 밝혔다.	https://n.news.naver.com/mnews/article/008/0004838420?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,경영,종이
8626	DN000000010664054139_5	DN000000010664054139	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다고 10일 밝혔다.	http://news.zum.com/articles/80622426	롯데쇼핑	친환경,경영,종이
8634	DN000000010664079434_3	DN000000010664079434	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다.	http://news.nate.com/view/20230110n05993?mid=n0100	롯데쇼핑	친환경,경영,종이
8645	DN000000010664148036_4	DN000000010664148036	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 새해부터 일회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다.	http://news.nate.com/view/20230110n07447?mid=n0100	롯데쇼핑	친환경,경영,종이
8648	DN000000010664153526_2	DN000000010664153526	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다고 10일 밝혔다.	https://www.thinkpool.com/analysis/news/15813894	롯데쇼핑	친환경,경영,종이
8651	DN000000010664156951_1	DN000000010664156951	20230110	언론	"롯데마트, 종이전단 없애고 모바일 전단으로..친환경 경영\n사진=롯데마트 제공      
롯데마트가 매주 행사 정보를 알리는 종이 전단을 없앤다."	https://news.mtn.co.kr/news-detail/?v=2023011009084358606	롯데쇼핑	친환경,경영,종이
8656	DN000000010664164270_2	DN000000010664164270	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하고 있다고 10일 밝혔다.	http://www.viva100.com/main/view.php?lcode=&series=&key=20230110010002750	롯데쇼핑	친환경,경영,종이
8661	DN000000010664200321_2	DN000000010664200321	20230110	언론	롯데마트는 친환경 경영의 하나로 새해부터 일회용 종이 전단을 대신해 새롭게 개편된 모바일 전단(사진)을 운영하기 시작했다.	http://news.nate.com/view/20230110n08554?mid=n0100	롯데쇼핑	친환경,경영,종이
8665	DN000000010664237697_6	DN000000010664237697	20230110	언론	롯데마트는 친환경 경영 일환으로 새해부터 일회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기로 했다.	https://v.daum.net/v/20230110101221502	롯데쇼핑	친환경,경영,종이
8672	DN000000010664348650_3	DN000000010664348650	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다.	http://www.gwangnam.co.kr/read.php3?aid=1673312633437208015	롯데쇼핑	친환경,경영,종이
8685	DN000000010664417075_2	DN000000010664417075	20230110	언론	롯데마트는 친환경 경영으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다.	http://www.goodkyung.com/news/articleView.html?idxno=197665	롯데쇼핑	친환경,경영,종이
8688	DN000000010664447919_3	DN000000010664447919	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다고 밝혔다.	http://www.onews.tv/news/articleView.html?idxno=150760	롯데쇼핑	친환경,경영,종이
8693	DN000000010664459010_1	DN000000010664459010	20230110	언론	'지구를 살리는 모바일전단'\n[서울=뉴시스] 김선웅 기자 = 롯데마트가 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다.	http://news.nate.com/view/20230110n14081?mid=n0100	롯데쇼핑	친환경,경영,종이
8694	DN000000010664459291_1	DN000000010664459291	20230110	언론	롯데마트, 종이 전단을 모바일로 대체\n[서울=뉴시스] 김선웅 기자 = 롯데마트가 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다.	http://news.nate.com/view/20230110n14069?mid=n0100	롯데쇼핑	친환경,경영,종이
8695	DN000000010664459368_1	DN000000010664459368	20230110	언론	이제는 종이 아닌 모바일 전단 시대\n[서울=뉴시스] 김선웅 기자 = 롯데마트가 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다.	http://news.nate.com/view/20230110n14091?mid=n0100	롯데쇼핑	친환경,경영,종이
8717	DN000000010664580612_4	DN000000010664580612	20230110	언론	롯데마트는 친환경 경영일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다고 10일 밝혔다.	http://www.naeil.com/news_view/?id_art=447889	롯데쇼핑	친환경,경영,종이
8719	DN000000010664786410_2	DN000000010664786410	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다고 10일 밝혔다.	https://n.news.naver.com/mnews/article/468/0000913594?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,경영,종이
8725	DN000000010664960874_3	DN000000010664960874	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 종이 전단 홍보를 전면 폐지하고 개편된 모바일 전단을 운영하기로 했다.	https://www.metroseoul.co.kr/article/20230110500248	롯데쇼핑	친환경,경영,종이
8731	DN000000010665098705_2	DN000000010665098705	20230110	언론	10일 롯데마트는 친환경 경영의 일환으로 새해부터 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다고 밝혔다.	https://n.news.naver.com/mnews/article/009/0005072648?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,경영,종이
8737	DN000000010665138294_6	DN000000010665138294	20230110	언론	10일 유통업계에 따르면 롯데마트는 지난 1일부터 친환경 경영의 일환으로 1회용 종이 전단 대신 새롭게 개편한 모바일 전단을 운영하고 있다.	http://www.wsobi.com/news/articleView.html?idxno=188115	롯데쇼핑	친환경,경영,종이
8738	DN000000010665227081_3	DN000000010665227081	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단 대신 모바일 전단을 운영하기 시작했습니다.	http://www.newskr.kr/news/articleView.html?idxno=85860	롯데쇼핑	친환경,경영,종이
8739	DN000000010665283349_4	DN000000010665283349	20230110	언론	이에 롯데마트는 친환경 경영을 위해 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다.	http://www.enetnews.co.kr/news/articleView.html?idxno=8996	롯데쇼핑	친환경,경영,종이
8749	DN000000010665624348_6	DN000000010665624348	20230110	언론	롯데마트는 이에 친환경 ESG 경영의 하나로 올해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영키로 했다.	http://www.smartcitytoday.co.kr/news/articleView.html?idxno=26013	롯데쇼핑	친환경,경영,종이
8751	DN000000010664800523_8	DN000000010664800523	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영을 위해 20여년 간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며 “모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정이다”고 말했다."	https://www.4th.kr/news/articleView.html?idxno=2031930	롯데쇼핑	친환경,경영,개선,종이,중단
8752	DN000000010664024463_9	DN000000010664024463	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며 ""고객들과 함께 환경보호에 동참한다는 점에서 감회가 새롭고, 모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정이니 많은 이용 바란다""고 말했다."	http://news.zum.com/articles/80621926	롯데쇼핑	친환경,개선,종이,환경보호,중단,환경
8755	DN000000010664048516_12	DN000000010664048516	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며, ""고객들과 함께 환경보호에 동참한다는 점에서 감회가 새롭고, 모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정""이라고 말했다."	https://n.news.naver.com/mnews/article/008/0004838420?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,개선,종이,환경보호,중단,환경
